2024-11-11, 24.13, Stock
2024-08-12, 1150.00, Rent
2024-09-15, 19.82, Groceries
2024-07-20, 1080.00, Utilities
2024-10-01, 20.91, Internet
2024-06-25, 1030.00, Furniture
2024-11-28, 25.67, Car Insurance
2024-08-18, 950.00, Gym Membership
2024-09-22, 21.19, Phone Bill
2024-07-15, 1100.00, Cable TV
2024-10-10, 19.35, Home Maintenance
2024-06-30, 1070.00, Pet Expenses
2024-11-25, 22.91, Travel
2024-08-22, 1180.00, Subscription Services
2024-09-28, 20.67, Dining Out
2024-07-20, 960.00, Entertainment
2024-10-15, 25.19, Health Insurance
2024-06-25, 1040.00, Credit Card Payment
2024-11-30, 18.91, Savings
2024-08-25, 1090.00, Home Improvement
2024-09-30, 21.45, Gifts
2024-07-22, 1000.00, Books
2024-10-20, 23.67, Hobbies
2024-06-28, 1060.00, Childcare
2024-11-28, 19.49, Education
2024-08-28, 1010.00, Miscellaneous
2024-10-01, 22.67, Stock
2024-07-25, 1030.00, Rent
2024-09-15, 20.91, Groceries
2024-06-30, 1160.00, Utilities
2024-11-11, 18.67, Internet
2024-08-18, 970.00, Furniture
2024-09-22, 21.67, Car Insurance
2024-07-15, 1050.00, Gym Membership
2024-10-10, 23.49, Phone Bill
2024-06-30, 1080.00, Cable TV
2024-11-25, 19.49, Home Maintenance
2024-08-22, 1000.00, Pet Expenses
2024-09-28, 22.67, Travel
2024-07-20, 1060.00, Subscription Services
2024-10-15, 20.91, Dining Out
2024-06-25, 1030.00, Entertainment
2024-11-30, 25.19, Health Insurance
2024-08-25, 1180.00, Credit Card Payment
2024-09-30, 18.67, Savings
2024-07-22, 960.00, Home Improvement
2024-10-20, 21.45, Gifts
2024-06-28, 1040.00, Books
2024-11-28, 23.67, Hobbies
2024-08-28, 1090.00, Childcare
